epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1288.94,0.28502,3.19923,1.04306,0.48687,0.6221,0.56956,0.56356,0.22828,2.0706,0.51717,0.000207469,0.000207469,0.000207469
2,2362.56,0.12458,2.02264,0.90019,0.57597,0.63954,0.66364,0.65738,0.23129,1.73264,0.51135,0.000374638,0.000374638,0.000374638
3,3436.13,0.11478,1.63782,0.88755,0.62718,0.66007,0.71157,0.70718,0.19895,1.45638,0.47288,0.000500557,0.000500557,0.000500557
4,4534.83,0.09779,1.35247,0.87554,0.66756,0.74957,0.75716,0.75654,0.15531,1.18278,0.43834,0.000439375,0.000439375,0.000439375
5,5638.33,0.08651,1.10954,0.87279,0.73574,0.75396,0.79177,0.79133,0.14913,1.08673,0.43223,0.0003775,0.0003775,0.0003775
6,6706.2,0.07527,0.97076,0.86721,0.71856,0.76393,0.81415,0.81379,0.13507,0.94816,0.41625,0.000315625,0.000315625,0.000315625
7,7768.3,0.06404,0.82647,0.86388,0.751,0.79812,0.84799,0.84614,0.16821,0.87698,0.45032,0.00025375,0.00025375,0.00025375
8,8835.08,0.05878,0.70975,0.85741,0.82052,0.81908,0.88053,0.87985,0.12754,0.72906,0.41229,0.000191875,0.000191875,0.000191875
9,9901.01,0.05008,0.6245,0.85597,0.86019,0.82816,0.90079,0.90063,0.12232,0.66459,0.4052,0.00013,0.00013,0.00013
10,10969.2,0.04483,0.5292,0.85444,0.87531,0.83168,0.90575,0.90526,0.11753,0.63702,0.40515,6.8125e-05,6.8125e-05,6.8125e-05
